SVM,KNN,RF,Review
yes,yes,yes,"I love this phone so glad i puchase this item exactly over the moon, it came so quick in the post . I would recommed this phone. A GREAT DEAL TOO."
yes,yes,yes,"Amazing phone. Best smartphone out yet. It's water resistant, durable and light in the hand which doesn't compromise quality or versatility. The camera is fantastic...crisp and clear snaps in an instant, and there are dozens of photo effects to play with."
yes,yes,yes,Love this phone I didn't think any one was better than iPhone after owning 3/3g/4/5s this Samsung s5? Let me put it this way I doubt I would ever buy a iPhone again
yes,yes,yes,Very impressed with this phone. Fast and responsive. Excellent camera. Beautiful OLED screen. Removeable battery and SD card (unlike the S6). And now very good value for money. Wish I hadn't put up with my laggy over heating battery munching Sony for a whole year.
yes,yes,yes,A great phone at a mid price point
no,no,no,Basically the phone arrived and it just didn't turn on nor did it want to take any charge. No sign of life at all. Tried every trick possible to get this phone to work without success. I am in process of sending it back and will keep this post updated with progress.
yes,yes,yes,"I had the Galaxy S3 and moved to Galaxy S4, I was contemplating whether I should upgrade my S4 to an S5 and I eventually did. So glad I did that because the performance of this phone is so much better and the screen quality and colour is definitely enhanced."
yes,yes,yes,"Excellent phone. Not much bloatware #, most of which is useful. Battery life seems ok for a day at a time and the Ultra Power Setting is amazing. Custs down the phone to greyscale screen, calls and text only but means you still have access even when the phone is at 5% battery life."
yes,yes,yes,"Very clear big display. Battery lasts about 2 days which beats my daughters iPhone hands down.it charges up in approximately an hour and I believe that an extended life battery is available if required. The deal clincher for me was the replaceable battery, so it is feasible to carry a spare."
yes,no,yes,"Superb quality item from Samsung. I skipped the S4 so can't comment on a comparison between those two models, but using the S5 after the S3 is a delight, it really is that good."
yes,yes,yes,"The phone is great. It took some time to decide whether to purchase the S% , the Alpha or i6. The features on the S5 swung it plus the splash proofness . Very satidfied."
yes,yes,yes,phone came early and it's a really excellent phone. love it
yes,yes,yes,No problems so far. Fast & great screen to boot. Go buy one
no,no,yes,"Wrong model sent, this was not an EU model and is not compatible in this country."
no,no,no,"Buyer beware. Phone came from Hong Kong and was obviously had a Chinese operating programme. Once sorted, the phone is okay. Battery life is poor."
yes,yes,yes,Happy with this phone. Wasn't unlocked as stated but selling quickly dealt with it & sorted us out. Cheers happy buyer.
yes,no,yes,Loving it!! Why doesn't it come with inductive charging as standard????
yes,yes,yes,Wonderful to have such a big screen - just getting used to all features.
yes,yes,yes,"Brilliant service,arrived early and very impressed overall will use again."
yes,yes,yes,got my mobile earlier than expected brilliant mobile speedy just brilliant.
yes,yes,yes,Great phone sold as described is genuine European model
yes,yes,yes,This was execelent and works properly MAtan
yes,yes,yes,I ve had my s5 nearly a week know and I found it to be like my s3 faultless the phone does what I want it to do and it's lighter than an iPhone Mobiles would recommend this phone to anyone
yes,yes,yes,I've been using this phone for a week now. Does everything brilliantly. My last phone (Samsung S2) failed after is got wet. The S5 is sold as being water proof. I do not intent to test it!
no,yes,yes,I'm no technophile and other people have posted some great reviews on this but I wouldn't buy it again. The battery life is AWFUL! It barely lasts 24 hours. A bit better if you turn of mobile data and wifi but even so...
yes,yes,yes,Wonderful best phone I have bought I've had about 20! Mobiles
yes,yes,yes,"There's a bit of delay with the delivery but the phone is worth waiting for ,very good phone , it is what it says in the description."
yes,yes,yes,"I love this phone, I was an iPhone user and was hesitant coming to android but after a while I got use to it and it is a brilliant phone"
yes,yes,yes,HUBBY LOVES IT - BEST NEW GADGET HE'S HAD FOR A LONG TIME. IT KEEPS HIM OCCUPIED FOR HOURS - MARVELLOUS AND JUST THE JOB.
yes,no,yes,its arrived so I put it through its passes all my expectationds its 16mp camera is grate
yes,yes,yes,Great phone. Samsung is awesome. Easy to set up. Would recommend to anyone.
yes,yes,yes,"Still finding out all the apps etc on phone, but arrived in excellent condition"
yes,yes,yes,Amazed it turned up 2 days early wow it works perfectly so fast best phone ever
yes,yes,yes,"Forget your iphones,too basic,s5 is superior all over the place."
no,yes,no,Phone work 100% fine open all network i use lebara and run fine
yes,yes,yes,An excellent phone and I am very happy.. The best phone I have had
yes,yes,yes,"Very happy with my mobile,excellent quality,simple to use and good battery life which is brilliant. Cheers!"
yes,yes,yes,"Excellent phone. Slight damage, it was declared, so no surprises there. Seller shipped prompt and answered my query very quickly. This phone is so much better than the Apple, Samsung have nailed. See the camera Apps, just amazing."
yes,yes,yes,It is not exactly new. The box was open and was with carrier.
yes,yes,yes,I upgraded from S3 to S5 and received mine on Monday. I have tested most if its features since than and it is definitely a Great upgrade. The Phone is super fast and Samsung Gifts has great apps for Free to go with it The Fingerprint scanner works like a charm and havent failed me even once.
yes,yes,yes,"Dear Samsung, replacing hardware menu button functionality with app tasker which regular users do not use much is great FAIL. Yes, I'm aware that long press of menu button will does the trick. But this takes time and is contrary to any usability guideline."
no,yes,no,"I loved the phone when it arrived and I had really been looking forward to receiving it, having preordered it. However, when I was just a short way into the registration process I got an error message ""Samsung Link has stopped working""."
yes,yes,yes,"The screen is big and beautiful: videos and photos look amazing on it. The speaker is good, I just wish the speakers were on the front and they were stereo. Sound quality from headphones is excellent though. The camera is fantastic!"
yes,yes,yes,So far mobile is going perfect I would recommend it first class.
yes,yes,yes,"Love this phone so much, it works amazingly well"
yes,yes,yes,If you are looking for a phone this is the one to get
yes,yes,yes,Good value without surprising features.
yes,yes,yes,"Excellent phone, everything works well."
yes,yes,yes,"Love it, it's more powerful than my laptop! Really good quality for not so much money."
yes,yes,yes,"This is a preliminary review, 1 day in from receipt. I ordered this as a warehouse deal. Described at ""repackaged"". It arrived in an original S5 box, all accessories in place, all protection film in place, and not a blemish on it. A great deal to save £40!"
yes,yes,yes,This handset offers everything you could possibly need. Easy to navigate .
yes,yes,yes,It came as locked when it was advertised as sim free with great difficulty I got it done it took me two weeks and have to spend about £45 pounds.
yes,yes,yes,Excellent item!! Super Value.
no,no,yes,It's faster than the previous phone I had (also Samsung). But the fingerprint scanner is rubbish and not very good at recognising. Had it a while now and it's starting to slow down a bit and freeze every now and again...but only since the update a few months ago.
yes,yes,yes,"I like this phone but it took me a while to sort it out so the battery didn't drain as fast as it was. I bought a new battery for it which made it a bit better. The phone seems fast and responsive, I like the sound which comes from the speaker and the camera takes clear pictures which are all a big..."
no,no,yes,I've had very little experience with this phone as the charger or battery won't charge. Odd for a new phone to not work on the second day.
yes,no,yes,delivered as advertised
yes,yes,no,"Took to long to ship after it was ready to ship. According to the tracking number the phones were ready on the 5th, but they didn't ship till the 12th. Bad business."
yes,yes,yes,"Great phone, works just fine. Trouble with Samsung, though, trying to upload contacts from old Samsung Infuse. Was told ""phone is too old, can't use Smart Switch"". Come on, Samsung, these are both your phones and your software!"
yes,yes,yes,Great phone no signs of pervious wear!
yes,yes,yes,Product did not. Make it in time
yes,no,yes,It is irresponsible to send another article which one wants and does not reach
yes,yes,yes,Love my new phone. .works very well..should have been ordered it
yes,yes,yes,"I LOVE this phone. I'm still learning the fine points, but it's wonderful having a phone, mini-computer, camera, etc. at your fingertips. I would recommend this to anyone in the market for a new phone."
yes,yes,yes,Finally I got a phone I like very much
yes,yes,yes,"Great phone, does everything I need and more"
no,no,yes,The case is really cheap cracked first day I got it and I didn't drop it.
yes,yes,yes,I like galaxy phone better than androids
yes,yes,yes,Like it very much
yes,no,yes,Mines came in kinda broken and yet still gald about it being the real thing . Only if it came in fixed it would had been 5 stars and yet to get it fixed
yes,yes,yes,"Works very well, and looks as promised. Loving my new phone!"
yes,yes,yes,The phone works good but sometimes I don't get service.
no,yes,no,"Phone works for a couple of months until screen won't turn on. It was flickering green then just dark. No matter how much times i pressed the power button, it just won't activate. Disappointed that a good phone is going to waste because of a screen malfunction."
yes,yes,yes,"Had some very visible scratched around the frame of the screen. Other than that, as expected."
yes,yes,yes,Eeverything was fine well satisfy
yes,yes,yes,Can I use this phone in the caribbean
yes,yes,yes,Works great no complaints. Just wish it were cheaper to buy one for my dad.
yes,yes,yes,I ordered two phones and they are both in great condition and work excellent. They are like new and are unlocked to be used in the Caribbean.
yes,yes,yes,Phone came quickly and as advertised. Phone was new and came in original sealed Samsung box. I wanted to use thus phone on Consumer Cellular system. Signed up. They sent me a SIM card and assisted me with settings over the telephone. Phone was up and running in ten minutes. Everything works great.
yes,yes,yes,"Bought this as an Android entree after living in the MS / WP universe. Very quickly received Marshmallow updates and comes preloaded with ATT apps (which can be disabled). Not a heavy user but still max out the storage regularly. G Plus has more for the money, but I wanted a screen under 5.5."
yes,yes,yes,Looked new worked great... got it for the WIFii calling mode.
yes,yes,yes,"Loved my S4 so got an S5. These were the smallest phones I could find. The camera is slow, I would prefer to NOT have a cover for the charging cable. Other than that it's a good phone."
no,no,no,"I purchased it online. Got a defective phone, the mic doesn't work."
yes,yes,yes,"The phone works beautifully, even though it's said at&t phone, but I use it on tmobile. There are no problem at all. Everything works out as it should be."
no,yes,no,"Do not get the G900A model. That is the AT&T version with a locked bootloader that can't be unlocked. So, if you plan on rooting it etc, get a different model (eg. G900T etc). Also, the OS is android 4.4.2 which is outdated and insecure.."
yes,no,yes,I like the sleek nature.
yes,yes,yes,Pic taking & emailing is fast and easy Wouldn't trade for another
yes,yes,yes,Samsung galaxy s5 is excellent condition. working perfect.
yes,yes,yes,"Just bought it recently, even though it is not the newest model. I don't ask much out of my cellphones, but it does have a great screen, great camera, surprisingly long lasting battery and fast internet over WiFi."
yes,yes,yes,wish it had been equipped with a sim card
yes,yes,yes,"Great phone shipped on time, new in original box with charger block, cord, battery and ear buds, along with all documentation. Just what I was looking for, delivered when I needed it. Would not hesitate to buy again, great experience."
yes,yes,yes,Love my Galaxy S5 it was an easy transition from the older S4.
yes,yes,yes,"This phone was two generations old when I purchased it. While not the latest Galaxy, it has outstanding speed and great features. All at a very reasonable price, espcially compared to the newest high end phones."
yes,yes,yes,"Still a great phone despite its original release date. The phone I received was running Android 5.0, not 5.1 as indicated in the website product description. I am happy with its performance and battery life."
yes,yes,yes,"Works great, it's a AT&T phone, but I used it on the Consumer Cellular Network , only draw back, filled with AT&T apps which I don't use and I had to call CC to manually set up one of the settings."
yes,yes,yes,A Great upgrade from my S3.
yes,yes,yes,"The phone is good in almost all aspects, the hearing auality is good, it is quite fast, the camera is good and the battery life is pretty good. The 2 drawbacks are: 1. The huge amount of unnecessary software form AT&T that comes bundled with it. 2."
yes,yes,yes,I think the S5 is the best phone that Samsung makes. Water resistant and you can change the battery if needed.
yes,yes,yes,"It's water proof. (alreaady checked by accident) It has a replaceable battery and It has an ultra saving power mode, also external SD memory. This is my second Galaxy cell phone. The Galaxay S5 design is good and functional."
yes,yes,yes,The phone was easy to get running on the AT&T network. I have been very pleased with the phone.
yes,yes,yes,"Did some research, bought the one I wanted. Does more than expected"
yes,yes,yes,"Good price, great service, and exactly what I ordered. I did lots of research and shopping and think overall this is the best, both in product and where I purchased it from. I have had it up and running for 3 days now. Hoping it continues to be a positive experience."
yes,yes,yes,Learning to use this phone is easy even for a non tech savvy person.
yes,yes,yes,"I ordered this phone to replace my older S3. I did not want to spend $$$ for the latest model. Transferring data was easy - used the Samsung transfer and AT&T data transfer software. Took SIM card from old phone and put into S5 .. Plug and play,..."
yes,yes,yes,"I had bought an Asus Zenphone 2 ( a little piece of garbage) and after two with problem I decided to buy this Galaxy S5. It is quite fast and very reliable; however, as most smart phones, the battery is still an issue. My S5 with a moderate usage, takes maximum of two days to run out of battery."
yes,yes,yes,"A great bang for the buck. Theres no reason to spend twice as much on a S6 that its made in Vietnam, this one is made in Korea and specs are almos the same."
yes,yes,yes,"The S5 was a replacement for my S3 which was 4 yrs old and starting to have issues, I use the Samsung transfer and ATT transfer and copying data was about as easy as it gets. SIM card was removed from old phone and worked flawlessly in new phone. Plug n play .."
yes,no,no,"Order came quickly, product description accurate. This is the second unlocked Samsung I have purchased. The one-year warranty is unbeatable!!!"
yes,yes,yes,So far so good. Product received quickly and as described. Would recommend.
yes,yes,yes,great phone good price and 1 year warranty
yes,yes,yes,I updated my S4 to this one. Faster. Nice cameras.
yes,yes,yes,Excellent deal and brilliant phone. love it.
no,yes,no,"The good: similar in performance to an iPhone 5. The bad: it uses USB 3 cable (yes, it does fit micro USB too) with annoying flip cover The ugly: the speaker is absolutely horrific - it distorts massively at medium volume and above. Calls sound like from another planet. Distorts voice too."
yes,yes,yes,it`s a very good product
yes,yes,yes,nice product and good personal
yes,yes,yes,I will recomendet a great phone
yes,yes,no,I upgraded from a Galaxy S3. I had no trouble getting the G5 to work with the Consumer Cellular network. I just moved the SIM card from the S3 to the S5 and was up and running. The S5 is much faster and with the larger internal memory is easier to use.
yes,yes,yes,El envo se realiz en tiempo y forma y el producto funciona de maravillas. Recomiendo comprar en este lugar.
yes,yes,yes,Great for our work force to use. One of the best products ever!
yes,yes,yes,"Great product, fair price"
yes,no,yes,"The phone arrived promptly, and was in perfect shape. Everything was as advertised. Activating it was a simple matter of transferring the SIM card and memory card from my old AT&T phone to the new S5 phone. I am very pleased with it."
yes,yes,yes,Easy to buy. Easy to set up. Easy to use. It's the home of the easy living.
yes,yes,yes,Although this phone has been replaced by newer versions; it does the job I need a phone to do for me. The waterproof and dust proof feature makes it a good fit since I ride a motorcycle a lot and you never know when you will hit rain.
yes,yes,yes,"Truly a powerful device. It brings up web pages nearly as fast as my desktop computer. I'm running it on the Cricket network, which uses AT&T's towers; I also use it on Wi-Fi. I use it for Phone, text, internet, navigation, photos/video, voice recorder/text notes."
yes,yes,yes,"Fast, nice display. Used every day all day and the battery is better and better, last a whole day without a need to charge."
yes,yes,yes,Everything as I expected.
yes,yes,yes,Easy to use right out of the box. Super camera. Much better then my old Iphone
yes,yes,yes,"I love the IR blaster to control my TV's, blue ray, AV receiver etc. The large display is beautiful and the processor is so fast there is no lag. I uninstalled and disabled most of the AT&T and Samsung bloatware apps and my battery lasts all day with 15% to spare at bedtime."
yes,yes,yes,It's a great phone that was rated #1 by Consumer Reports recently. It does everything I want.
yes,yes,yes,I just bought the S5 instead of the s6. I wanted to have the ability to add a SIM card and replace the battery myself. I have an older S3 and the new phone is a huge improvement.
yes,yes,yes,after 3 brands this is the one.  Att hook up was easy. file transfers just a bump away. no data lost from Samsung 111.
no,yes,yes,"I tried ""tethering"" and could not do it. Had to get rid of the phone, but the same brand and model but under T-Mobile. I am now happily tethering."
no,yes,yes,"Received complete as advertised, and on schedule. Activated without any problems at carriers store."
yes,yes,yes,"This is the last Gen of Galaxy line with removable battery and SD card slot; and with water resistance capability. Would recommend it if you don't want to be ""lock up"" in the S6 like iPhone."
no,no,no,"I bought an unlocked phone, yes I could see that, but I was never told it was an International model and not serviced by Samsung. Why wasn't this listed in plain sight so I would know what I was buying. Buyer beware!!!"
yes,yes,yes,"It's an awesome phone i have used so far. Switched from iphone to this phone and decided to never go back. Out of all samsung models including the recent s6, this is the best model i like."
yes,yes,yes,"Phone was as described and brand new. No troubloe getting AT&T to set it up for free, providing a sim card and moving the data card from the old phone. The AT&T guy asked where I got it and what I paid. He said I got a great deal. I love the screen and the features."
yes,yes,yes,I upgraded from a Galaxy s3 to an s5 and I love it. Much faster than my old phone and a love the built in step counter and heart rate monitor!
yes,yes,yes,"You delivered a great product at a great price. Brand new, unlocked. My girlfriends been using it for over a week. No problems. Went straight to Cricket Wireless and in 30 minutes she was up and running."
yes,yes,yes,Came on time brand new as described. Galaxy s5. Enough said
yes,yes,yes,"I don't use mobile calling that much but I do want to use some apps such as bus tracker, Skype, compass, flashlight, memo, and definitely eBooks. This phone charges super fast (< 2 hrs.), probably because the battery is new."
yes,yes,yes,Phone was indeed new. I am extremely happy with my purchase.
yes,yes,yes,"It is very good product, good speed working, small size, battery have long life. Good phone for not too much money. I recomended :]"
yes,yes,yes,"Mostly the same as previous version. Not fond of all the changes, but overall it's fine."
yes,yes,yes,bought the S-5 900a model to use with our tmobile carrier. this model is recomended for tmobile users. easy set up at store. make sure you tell the tech that it's an AT&T model so they can modify the internet settings. this is the second one we have purchased and will continue as needed.
yes,no,yes,"I got the phone and was exactly the same as they advertise ,unlocked ,I just put my sim card in and change one setting and was ready for work I really like it"
yes,yes,yes,Changed from a Windows phone to this Samsung S5 android phone. I feel like I'm finally in the application loop after the sparse offerings and incomplete workings of windows apps. Phone works like a charm. Pulled my AT&T GoPhone sim card from the windows phone and inserted into the Samsung phone.
yes,yes,yes,"I moved from iphone and am very plased with the phone. The feel of the phone is good. he speaker is loud and clear, reception for both the phone and wifi is also great."
no,no,yes,"I use the phone for calls, navigation, searches.  I like the screen that indicates all the apps you have open, and the fact that you can swipe left and clear each as desired, and do that also on the notices screen."
yes,no,yes,"I bought this unlocked to used for my T-mobile network and so far it seems pretty good, the S5 is fast and reliable even though reception in my area (T-mobile)is only 2-3 bars. battery last 2 days before each charges. I only own this phone for about 2 weeks so will see how it does in the long run"
yes,yes,yes,Upgraded my Galaxy S3 and purchased the S5. Transferred my flash card and Sims card and was running in a few minutes.
yes,yes,yes,"I have always purchased Samsung products but will not anymore. I was replacing a Samsung S5 that was less than one year old because of charging issues and thought it was a fluke, but after recieving a brand new Samsung S5, same issue right out of the box, I also had a S4 and it has the sim card not..."
yes,yes,yes,"The S5 Galaxy is a pretty sleek upgrade from my SII Skyrocket in that the screen is much bigger and the system is faster, but I would not trust the 'water-resistant' advertising more than a splash of rain or sweat."
no,no,no,"The central part of the touchscreen doesnt work, it has no response and that was validated by factorys test."
yes,yes,yes,"So, I upgraded to this Samsung from my previous Samsung S4 mini. That phone was several years old, it was slow, certain apps weren't compatible, and the camera sucked. This phone is WAY BETTER."
yes,no,no,"Getting an unblocked phone to be able to use it overseas with different SIM card requires for the customer to upgrade the phone with your carrier. In my case Consumer Cellular. Otherwise, forward would not work as well as other systems."
yes,yes,yes,I like this phone. I had the S3 and it got tired; this was still the best choice for me. But it is my 2nd one. The first one fell 12 inches from my pocket onto uneven pavement and the screen cracked.
yes,yes,yes,"The Galaxy S5 phone IS wonderful, it is unlocked; I bought it for use with the Consumer Cellular network and it works very well. I think it's even better than the S6 since I didn't want to go larger. The only fly in the ointment is the pre-installed AT&T software."
yes,yes,yes,"In choosing the Galaxy s5, the long battery life and ruggedness (highly water-resistant!) were great selling points, making it easy to choose this over the significantly higher-priced, though similarly-featured with just a few different bells and whistles, s6!"
yes,yes,yes,"great phone,large screen that is bright and clear. Comes with easy start guide which helps on use of basic features and buttons. Battery life is great and charges fast."
yes,yes,yes,This was a gift for my wife who is a very heavy social media user. It replaced an older Sony Xperia. I was given the opportunity to test drive it for some time. My personal devices are a brand new iPhone 6 and an older Galaxy S3.
yes,yes,yes,I spend my time between Mexico and a place in the mountains in California. I needed a phone that could get reception in my area of CA and with a removable SIM card for when I am in Mexico. So far I don't have any misgivings and definitely buy again.
yes,yes,yes,"I wanted a nice phone for use on Straight Talk. The Galaxy S5 works perfectly, easy to set up. Just insert ths Straight Talk SIM card, activate on line and call Straight Talk to register APN. Up and running in less than an hour.  Charger that came with it didn't work but I had other Samsung chargers."
yes,yes,yes,"Got this for my daughter, it's faster than the ASUS mini-notebook she had been using for the last four years! Picked this phone because it still has a user replaceable battery, and is water resistant. She loves the blue color."
no,no,no,The phone is unlocked but some utilities as wifi hotspot it is locked by at&t software pre instaled.  Do not buy this phone for use with other carrier. A lot of functions are locked.
yes,yes,yes,I rarely rate anything a 10 but this phone is amazing in every category. ...Samsung has always been ahead of its time. Superior to any smart phone I ever used.
yes,yes,yes,I upgraded my wife to an Android phone from iOS. This was by far the best deal available for an S5! I received it promptly and it was exactly as described. A quick swap of the SIM from the old phone to new and I was up and running in no time. I could not be happier.
yes,yes,yes,I wanted a smartphone with a camera for my daughter who is becoming interested in taking picture and sending them to friends. It's specs easily match or beat the iphone6. When I found out it had a replaceble battery and was waterproof I was sold.
yes,yes,yes,"Top phone on the Market, this was unlocked, came quick and no issues!"
yes,yes,yes,I love the Samsung Galaxy S5. I had Nexus 4 earlier and now switched over to S5. I don't know why I did not decide to switch to this phone earlier :) I should have done that. I am impressed with the phone. Looks slim and light weight.
yes,yes,yes,Bought for a gift for my wife and phone worked right out of box. The only thing that we had to change was the sim card from her old phone since it was not lte combatable. Ordered the phone on tuesday and got it the next day. Great company to deal with
yes,yes,yes,"I'd prefer to give it more stars than 5. Great features, fast, fits in pocket yet big screen. In my opinion best smartphone on the market."
yes,yes,yes,Finally a mobile device that meets all my needs. I do everything with this wee little beastie.
yes,yes,yes,"Phone works great. Initially, the battery wouldn't charge fully, but just leaving it on the charger over night, even though it was showing full already. It's done well since. This phone is fast! It has USB 3.0 and is completely adjustable to my liking. This is a great phone."
yes,yes,yes,"I had been considering moving to a Galaxy S5 from an iPhone for a long time and when I found this deal, it seemed to good to be true. AT&T couldn't come close to matching this deal and wouldn't even try."
yes,yes,yes,"So far it just works great. The camera is incredible. The screen is bright and clear. But mostly, everything just does what it should."
yes,yes,yes,Works great with ATT.
yes,no,yes,it's not in v good condition
yes,yes,yes,samsung not so good
no,yes,no,I had to returned it. Because it looks used. I didnt feel good woth it. Sorry
no,no,no,RETURNED LOOKS USED
no,no,no,I don't see any reason why people should waste money buying S6 or S7. This phone has all the features you will actually use as good as other phones and is at half the price.
yes,yes,yes,Excellent phone. ...love it
yes,yes,yes,"I am super happy that I got the Samsung S5. I got it about 1 month ago from SCE Enterprise. I picked it for its camera, and I have been continuously impressed at the resolution. The system provides various special features, e.g."
no,yes,yes,"After having my s4 safely in my possession for years, it finally fell and the screen broke. I was advised to get a new phone rather than having the screen replaced. Although I was sad at the loss (I'll miss you, dear S4), I was also excited that I was obtaining a new phone."
no,yes,yes,"Really disappointed. I had the S3 and bought this because I loved the camera and operating system of the S3, and the S5 is supposed to be better with higher spec. However, all the pictures I have taken on this new S5 have been quite blurry."
yes,no,yes,works great with my Straight Talk Service!!!
no,no,no,"It didnt come as a referb, the upper left of side of the screen wasn't properly attached, so theres an ugly cloudly mark inside the screen, the corners were scratched and dented, and the back cover of the phone was ripped slightly on the side making the back of it not entirely waterproof."
yes,yes,yes,"Very happy with purchase. I have had 4 phones in the past year. Needless to say I'm very hard on them! I have returned to Samsung as the other brands just didn't measure up. I use Straight Talk and have for years. Had no problems changing over, just check to make sure it works in your area!"
no,no,no,"Wished I stayed with iPhone. Some calls are garbled, notice to close charging port even when it is closed, cover to port broke off without being abused. Screen very sensitive often times not holding phone exactly right the screen changes to something else."
no,no,no,"Unfortunately, although the phone was brand new in box, the screen itself did not work. It would ""turn on"" and ""work"" but the screen wouldn't turn on even though touch was working. I basically received a broken phone, although I don't think it's because of any fault of their own. The phone just..."
yes,no,yes,"IPHONE user for years, Android has come a long way since the Motorola zoom. This phone took the place of my iPhone and ipad. Typing is easy and the screen size is just right. This galaxy is just as simple as the iPhone with more options now."
no,no,no,"Water insulation this off Water insulation is taken off in the port of loading, which is seen is of poor quality. It is one expensive equipment, must not have cosmetic defects. That means the phone is defective. It is no longer waterproof. The insulation should not took off."
no,yes,yes,The AT&T version of the phone is not the same as the T-Mobile. 1. There is no wi-fi calling feature when you switch the phone over to a different carrier. 2. When at full volume the speaker kind of sounds choppy. There indeed is a tick sound when playing music. 3.
yes,yes,yes,"Well, this Galaxy S5 is a significant improvement over the Galaxy S3 I had. My main motivation was to get a better camera and a better display. On both counts, I have not been disappointed."
no,yes,yes,"The phone works fine for the most part, but can't receive group texts or imagines through its built in Messages application. It attempts to download them but never does so even when connected to wifi."
no,yes,no,"Liked phone. It was sold as new, but I had reservation due some problems with use. I had to return it."
no,yes,yes,"The phone came with a flaw because it restarts every 30 seconds, Samsung Venezuela I took it and I will updated the software but the failure persisted and I said could not open it because it had been acquired in Latin America, I spent a lot of money at the cellular and on nationalization I owe taxes..."
yes,no,yes,"I've had this less than 1 week so far. It keeps the charge very well. With the 4G enabled whole day, it charge only dropped down to 60%. Adding to that about an hour talk time. (My previous galaxy S2 ran completely out of charge at the end of the day even without doing any thing, if 4G was on) I..."
yes,yes,yes,"Great phone, but one suggestion. If it is going to be sold as ""unlocked"", root the phone so that it is possible to remove all of the original provider's junk. Unlocked or not, it still operates like a phone I would have expected from one of the providers: Apps launch on startup, and run in the..."
yes,yes,yes,"Nice phone but the fingerprint scanner feature does not work. I called Samsung about this and they told me that due to the recent Android update, the fingerprint function would not operate until a waiting period of 48-hours."
yes,yes,yes,"I love this phone ,it has so my great apps and is easy to use."
yes,yes,yes,"I love the phone! It came quickly and was unlocked and the model I ordered, and my changing carriers worked fine. Many great features on phone and beautiful display. A great improvement over my iPhone 4 in so many ways"
no,yes,no,It's good. Sometimes it hangs due to process overload. Sometimes it get hot while browsing or talking. Also the camera pictures are not good compare to s4.
no,no,yes,When I got this phone it was supposed to work internationally. It doesn't. I tried it. It only works with 4G. Not all Galaxy S5's are the same. Depends the carrier you have. If At&t it will only work with 4G networks. Otherwise it will not. The SM-G900A is for At&t.
yes,yes,yes,"great phone, only cons: yo can not use the wifi spot in this att phone, as this feature is blocked."
yes,yes,yes,Great phone and just what i wanted. I would recommend this phone to anyone that likes android phones. I changed from apple to this phone
yes,yes,yes,"Great phone. Streaming videos, movies, etc. is excellent with a great, clear picture. I am greatly impressed."
yes,yes,yes,Completely satisfied with this phone. Nothing to complain about.
no,yes,yes,I have had the phone worked for a week now in a South American country that operates with Claro carrier. I had to update a firmware to verify that this phone could be compatible with my services in Ecuador and that was only a 20$ extra for it.
yes,yes,yes,"I really liked the phone and this was excellent. Though still need to verify/check all the features, but so far its good."
yes,yes,yes,"Works, and easily able to upgrade from my previous At&t phone to this one."
yes,yes,yes,"Extremely happy with it. Excellent right out of the box. My first Android phone so I'm still learning but I have voice, text, data and apps what more could you want?"
yes,yes,yes,"the phone works great except it won't allow it to be used as a wifi hotspot on any network other than AT&T, i'm using it on Cricket's network that is owned by AT&T so i assumed that it would work like my old S3 did that was also on Crickets network but that was a UK unlocked phone that only had 3G..."
yes,yes,yes,"Great phone shipped on time, new in original box with charger block, cord, battery and ear buds, along with all documentation. Just what I was looking for, delivered when I needed it. Would not hesitate to buy again, great experience."
yes,yes,yes,"I have had this phone for around 1-2weeks. Thus far, I feel good. It is a genuine S5 phone tested by software. Recommended."
yes,yes,yes,I really enjoy this phone however I admit to still learning how to operate it. Lots of options.
yes,yes,yes,excellent 100 % responsabilite
yes,yes,yes,I ordered this phone for when I travel back to my home country. It came unlocked and ready to use. I love it. Works like a charm.
no,yes,no,"Charging cover broke within 2 weeks and my Wifi signal drops constantly, but overall a decent phone."
yes,yes,yes,"Amazing smartphone, very versatile. Love it."
yes,no,yes,Enjoy this phone very much.
yes,yes,yes,This phone is AMAZING! I am currently using it with T Mobile and I don't have a single complaint! Very satisfied with delivery and the product.
yes,yes,yes,"Very happy customer. Satisfied with this purchase and product. Excellent working condition, no cosmetic damage and delivery was right on time. Thank you."
yes,yes,yes,Arrived as promised..Product is as stated..
yes,no,yes,"did buy couple of these for my family and even though I am not a user myself, I can say that they are incredibly happy with these samsung's. reliable at best, never fail, never slow down processing, never tire. screen is amazing and they say -and so i think - about the right size!"
no,yes,yes,"Sent me a white phone, desctiption says black. Phone had visible damages around the edges. Description said light scratches."
yes,yes,yes,Works fine with T-Mobile. Comes with a bunch of AT&T apps I don't need.
yes,no,yes,The voice reception was not clear.
no,yes,yes,"Hello, the phone is great, its unlocked but at&t blocked to other users to use the hotspot .. not fear"
yes,yes,yes,A very good phone. It was what I expected and more. It works very well with Straight Talk.
yes,yes,yes,It's awesome I'm enjoying my s5
yes,yes,yes,The S5 was all I expected and more having come from a Motorola Bravo.
yes,yes,yes,"It's great phone,I like it.So far working good."
yes,yes,yes,i bought this phone a couple weeks ago and love it the picture quality is amazing! the speed it processes is great. its easy to use i would definitely recommend it to anyone.
yes,yes,yes,The Samsung S5 has (so far) lived up to the reviews and expectations that online reviews have given it. I've continued to find the abundance of features that made me glad that I jumped from the S3 to the S5. Some of the features like the air gestures are just a gimmick.
no,no,yes,Low quality and battery damage not worth it
